Name,City,Price-Night,Distance-km,Score,Rating
"""Bike & Bed"" CharinCo Hostel",Osaka,27.39,2.9,9.2,Superb
& And Hostel,Fukuoka-City,21.580000000000002,0.7,9.5,Superb
&And Hostel Akihabara,Tokyo,29.88,7.8,8.7,Fabulous
&And Hostel Ueno,Tokyo,21.580000000000002,8.7,7.4,Very Good
&And Hostel-Asakusa North-,Tokyo,12.45,10.5,9.4,Superb
1night1980hostel Tokyo,Tokyo,17.43,9.4,7.0,Very Good
328 Hostel & Lounge,Tokyo,27.39,16.5,9.3,Superb
36Hostel,Hiroshima,16.6,1.6,9.5,Superb
3Q House - Asakusa Smile,Tokyo,20.75,10.2,,
Ace Inn Shinjuku,Tokyo,18.26,3.0,7.7,Very Good
Air Osaka Hostel,Osaka,13.28,9.7,9.2,Superb
Aizuya Inn,Tokyo,16.6,10.6,8.5,Fabulous
Akihabara Hotel 3000,Tokyo,18.26,8.0,10.0,Superb
Almond hostel & cafe Shibuya,Tokyo,24.07,2.2,9.3,Superb
Anne Hostel Asakusabashi,Tokyo,16.6,8.9,9.1,Superb
Anne Hostel Yokozuna,Tokyo,14.94,9.5,9.1,Superb
Ark Hostel,Osaka,22.41,1.9,9.0,Superb
ARTnSHELTER,Tokyo,19.92,10.5,8.3,Fabulous
AS House (Asakusa Smile),Tokyo,13.28,10.0,7.8,Very Good
Asakusa Hostel Toukaisou,Tokyo,10.790000000000001,9.3,8.9,Fabulous
Asakusa Ryokan Toukaisou,Tokyo,29.88,9.3,8.7,Fabulous
Asakusahotel Wasou,Tokyo,16.6,9.9,9.4,Superb
Astro Station,Tokyo,29.05,3.8,8.4,Fabulous
B&S Eco Cube Shinsaibashi,Osaka,21.580000000000002,4.0,8.6,Fabulous
Backpackers Hostel K's House Hiroshima,Hiroshima,21.580000000000002,1.9,9.4,Superb
Backpackers Hostel K's House Kyoto,Kyoto,14.94,2.4,9.2,Superb
Backpackers Hostel K's House Tokyo,Tokyo,17.43,9.2,9.2,Superb
Backpackers Hotel Toyo Osaka,Osaka,12.45,6.5,8.8,Fabulous
Backstage Osaka Hostel & Bar,Osaka,18.26,4.5,8.8,Fabulous
Beagle Tokyo Hostel & Apartments,Tokyo,31.54,16.1,9.0,Superb
Bed Stock,Fukuoka-City,20.75,1.1,8.9,Fabulous
Beehive Hostel Osaka,Osaka,24.07,3.4,9.1,Superb
Bigtree Guesthouse,Osaka,24.07,36.6,9.6,Superb
Bird Hostel,Kyoto,22.41,1.1,9.3,Superb
bnb+ Ninja Dojo Ueno,Tokyo,20.75,8.0,5.2,Rating
bnb+Shinjuku Castle,Tokyo,20.75,1.3,5.0,Rating
Bonfire Hostel Osaka,Osaka,14.94,9.5,9.2,Superb
Bonsai Guest House,Osaka,14.94,5.9,8.7,Fabulous
Book and Bed Tokyo - Kyoto,Kyoto,31.54,0.9,9.1,Superb
Book And Bed Tokyo Asakusa,Tokyo,34.03,9.6,9.1,Superb
Book And Bed Tokyo Fukuoka,Fukuoka-City,35.69,0.3,8.6,Fabulous
Book And Bed Tokyo Ikebukuro,Tokyo,34.03,4.9,8.2,Fabulous
